Date,Open,High,Low,Close,Volume,Adj Close
2013-08-19,4.47,4.52,4.46,4.50,47809500,4.42
2013-08-16,4.50,4.95,4.45,4.52,123948000,4.44
2013-08-15,4.53,4.56,4.49,4.50,26343500,4.42
2013-08-14,4.55,4.57,4.51,4.53,36587100,4.45
2013-08-13,4.53,4.56,4.49,4.54,37012900,4.46
2013-08-12,4.40,4.54,4.39,4.53,63810600,4.45
2013-08-09,4.39,4.41,4.33,4.39,34578200,4.31
2013-08-08,4.38,4.40,4.35,4.37,26416400,4.29
2013-08-07,4.43,4.45,4.37,4.39,43740000,4.31
2013-08-06,4.43,4.46,4.40,4.44,35860000,4.36
2013-08-05,4.45,4.46,4.37,4.46,33421600,4.38
2013-08-02,4.45,4.48,4.40,4.44,23229900,4.36
2013-08-01,4.40,4.45,4.38,4.43,34945000,4.35
2013-07-31,4.36,4.40,4.35,4.38,27533000,4.30
2013-07-30,4.29,4.37,4.26,4.37,52510500,4.29
2013-07-29,4.31,4.33,4.23,4.26,40415600,4.19
2013-07-26,4.35,4.37,4.32,4.35,37183400,4.27
2013-07-25,4.45,4.46,4.34,4.38,66258900,4.30
2013-07-24,4.45,4.48,4.40,4.43,36931600,4.35
2013-07-23,4.42,4.51,4.41,4.48,79216300,4.40
2013-07-22,4.38,4.48,4.35,4.45,61540000,4.37
2013-07-19,4.43,4.47,4.34,4.45,75464900,4.37
2013-07-18,4.44,4.46,4.36,4.40,66667500,4.32
2013-07-17,4.48,4.58,4.43,4.45,84745200,4.37
2013-07-16,4.56,4.56,4.43,4.50,67761800,4.42
2013-07-15,4.59,4.62,4.52,4.56,61998400,4.48
2013-07-12,4.63,4.63,4.51,4.59,81345600,4.51
2013-07-11,4.58,4.74,4.56,4.65,188369800,4.57
2013-07-10,4.33,4.69,4.31,4.61,184187200,4.53
2013-07-09,4.13,4.34,4.12,4.33,125256400,4.26
2013-07-08,4.18,4.19,4.12,4.14,40966800,4.07
2013-07-05,4.22,4.26,4.18,4.19,49533700,4.12
2013-07-04,4.21,4.26,4.17,4.22,56541200,4.15
2013-07-03,4.21,4.27,4.10,4.25,107829500,4.18
2013-07-02,4.27,4.27,4.14,4.24,79692000,4.17
2013-07-01,4.15,4.29,4.15,4.27,67563900,4.20
2013-06-28,4.11,4.23,4.10,4.18,60142900,4.11
2013-06-27,4.13,4.16,4.08,4.11,48526400,4.04
2013-06-26,4.19,4.21,4.05,4.10,59105900,4.03
2013-06-25,4.20,4.26,4.06,4.19,62868100,4.12
2013-06-24,4.45,4.47,4.17,4.21,69930800,4.14
2013-06-21,4.45,4.54,4.39,4.45,46773100,4.37
2013-06-20,4.66,4.71,4.49,4.50,38478300,4.42
2013-06-19,4.77,4.77,4.62,4.68,32647300,4.60
2013-06-18,5.31,5.31,5.26,5.29,28101000,4.19
2013-06-17,5.25,5.32,5.23,5.29,46210200,4.19
2013-06-14,5.32,5.34,5.22,5.24,60040800,4.15
2013-06-13,5.47,5.47,5.17,5.32,54437600,4.21
2013-06-12,5.50,5.50,5.50,5.50,000,4.35
2013-06-11,5.50,5.50,5.50,5.50,000,4.35
2013-06-10,5.50,5.50,5.50,5.50,000,4.35
2013-06-07,5.59,5.59,5.49,5.50,31777400,4.35
2013-06-06,5.59,5.61,5.57,5.59,23969600,4.42
2013-06-05,5.59,5.63,5.57,5.59,19266300,4.42
2013-06-04,5.62,5.63,5.57,5.61,31592600,4.44
2013-06-03,5.61,5.65,5.57,5.62,27192300,4.44
2013-05-31,5.63,5.65,5.60,5.62,26537900,4.44
2013-05-30,5.66,5.66,5.59,5.62,45736000,4.45
2013-05-29,5.68,5.71,5.66,5.67,38635000,4.48
2013-05-28,5.60,5.68,5.57,5.67,40617300,4.48
2013-05-27,5.57,5.64,5.57,5.60,32499000,4.43
2013-05-24,5.63,5.67,5.56,5.58,42722500,4.42
2013-05-23,5.66,5.67,5.62,5.62,35251500,4.45
2013-05-22,5.71,5.74,5.67,5.68,28601600,4.50
2013-05-21,5.73,5.75,5.68,5.71,37235700,4.52
2013-05-20,5.66,5.79,5.65,5.76,48820300,4.56
2013-05-17,5.56,5.67,5.54,5.65,46627800,4.47
2013-05-16,5.52,5.57,5.48,5.56,32394600,4.40
2013-05-15,5.51,5.53,5.48,5.52,17890200,4.36
2013-05-14,5.58,5.58,5.48,5.51,45150400,4.36
2013-05-13,5.56,5.65,5.54,5.57,36072900,4.41
2013-05-10,5.60,5.62,5.49,5.57,72533500,4.40
2013-05-09,5.72,5.73,5.58,5.59,54144600,4.42
2013-05-08,5.72,5.78,5.68,5.71,33890400,4.52
2013-05-07,5.75,5.75,5.67,5.71,26746700,4.52
2013-05-06,5.67,5.78,5.64,5.74,37832100,4.54
2013-05-03,5.58,5.67,5.57,5.64,32799400,4.46
2013-05-02,5.59,5.61,5.55,5.57,23598000,4.40
2013-05-01,5.61,5.61,5.61,5.61,000,4.44
2013-04-30,5.61,5.61,5.61,5.61,000,4.44
2013-04-29,5.61,5.61,5.61,5.61,000,4.44
2013-04-26,5.64,5.67,5.57,5.61,22241900,4.44
2013-04-25,5.62,5.68,5.57,5.65,33747300,4.47
2013-04-24,5.54,5.65,5.54,5.62,34049200,4.44
2013-04-23,5.75,5.75,5.50,5.53,66531900,4.37
2013-04-22,5.77,5.82,5.72,5.75,37913000,4.55
2013-04-19,5.71,5.84,5.68,5.78,46710100,4.58
2013-04-18,5.68,5.78,5.66,5.68,28612000,4.50
2013-04-17,5.73,5.75,5.66,5.72,20065500,4.52
2013-04-16,5.67,5.78,5.66,5.72,37286800,4.53
2013-04-15,5.83,5.88,5.68,5.72,58249300,4.52
2013-04-12,5.98,6.02,5.88,5.89,35217900,4.66
2013-04-11,5.97,6.03,5.96,5.98,30840300,4.73
2013-04-10,6.00,6.03,5.94,5.97,39387300,4.72
2013-04-09,6.04,6.05,5.97,6.00,37441900,4.75
2013-04-08,5.98,6.03,5.93,6.00,38615200,4.75
2013-04-05,6.03,6.03,6.03,6.03,000,4.77
2013-04-04,6.03,6.03,6.03,6.03,000,4.77
2013-04-03,6.05,6.10,6.00,6.03,32675500,4.77
2013-04-02,6.13,6.14,6.01,6.04,49554700,4.78
2013-04-01,6.14,6.18,6.09,6.15,33654700,4.87
2013-03-29,6.19,6.22,6.14,6.16,25413300,4.87
2013-03-28,6.18,6.21,6.08,6.18,49379600,4.89
2013-03-27,6.22,6.39,6.18,6.22,79901000,4.92
2013-03-26,6.33,6.33,6.11,6.20,58476100,4.90
2013-03-25,6.41,6.42,6.28,6.33,65288700,5.01
2013-03-22,6.25,6.44,6.25,6.43,118542500,5.09
2013-03-21,6.17,6.31,6.12,6.27,86545600,4.96
2013-03-20,6.11,6.23,6.11,6.18,54897600,4.88
2013-03-19,5.97,6.19,5.96,6.12,64340400,4.85
2013-03-18,6.24,6.29,5.96,5.97,66272900,4.72
2013-03-15,6.19,6.32,6.17,6.28,52619300,4.96
2013-03-14,6.18,6.28,6.12,6.20,44542500,4.90
2013-03-13,6.23,6.35,6.20,6.22,74870000,4.92
2013-03-12,6.13,6.38,6.12,6.22,92117300,4.92
2013-03-11,6.12,6.18,6.07,6.12,22682800,4.85
2013-03-08,6.12,6.21,6.06,6.16,55881400,4.87
2013-03-07,6.12,6.25,6.01,6.09,62422300,4.82
2013-03-06,5.96,6.07,5.90,6.05,49709900,4.79
2013-03-05,5.97,6.00,5.84,5.96,55691600,4.71
2013-03-04,6.03,6.08,5.91,5.95,80519000,4.71
2013-03-01,5.98,6.04,5.93,6.01,42992600,4.75
2013-02-28,5.91,6.08,5.87,6.03,59037900,4.77
2013-02-27,5.93,5.97,5.86,5.91,29683900,4.67
2013-02-26,5.92,6.02,5.88,5.94,62782400,4.70
2013-02-25,5.85,6.05,5.85,5.97,82480900,4.73
2013-02-22,5.88,5.91,5.79,5.82,53999800,4.60
2013-02-21,6.06,6.07,5.87,5.90,71994900,4.67
2013-02-20,5.97,6.12,5.95,6.07,88597100,4.80
2013-02-19,5.96,6.09,5.93,5.97,114548400,4.72
2013-02-18,5.88,6.01,5.83,5.97,98610100,4.72
2013-02-15,5.86,5.86,5.86,5.86,000,4.63
2013-02-14,5.86,5.86,5.86,5.86,000,4.63
2013-02-13,5.86,5.86,5.86,5.86,000,4.63
2013-02-12,5.86,5.86,5.86,5.86,000,4.63
2013-02-11,5.86,5.86,5.86,5.86,000,4.63
2013-02-08,5.75,5.87,5.73,5.86,69859100,4.63
2013-02-07,5.74,5.80,5.70,5.75,74813300,4.55
2013-02-06,5.75,5.76,5.72,5.75,47591100,4.55
2013-02-05,5.79,5.80,5.66,5.75,134093500,4.55
2013-02-04,5.91,5.95,5.82,5.88,76531500,4.65
2013-02-01,5.86,5.94,5.82,5.90,42960300,4.67
2013-01-31,5.92,5.95,5.84,5.89,47373100,4.66
2013-01-30,5.82,5.93,5.78,5.93,85334200,4.69
2013-01-29,5.82,5.84,5.77,5.82,47633100,4.61
2013-01-28,5.74,5.88,5.72,5.83,52599600,4.61
2013-01-25,5.76,5.81,5.68,5.71,53042100,4.52
2013-01-24,5.73,5.90,5.68,5.77,90037500,4.56
2013-01-23,5.68,5.76,5.67,5.74,42579000,4.54
2013-01-22,5.73,5.73,5.62,5.68,56271100,4.50
2013-01-21,5.72,5.80,5.67,5.73,42891000,4.54
2013-01-18,5.66,5.72,5.65,5.72,45383700,4.52
2013-01-17,5.72,5.73,5.61,5.63,75214900,4.46
2013-01-16,5.88,5.89,5.66,5.74,82368500,4.54
2013-01-15,5.90,5.99,5.82,5.89,70736100,4.66
2013-01-14,5.79,5.93,5.76,5.93,65026700,4.69
2013-01-11,5.87,5.93,5.75,5.78,68753400,4.58
2013-01-10,5.73,5.88,5.72,5.87,78921200,4.64
2013-01-09,5.76,5.82,5.71,5.75,43029100,4.55
2013-01-08,5.75,5.87,5.74,5.76,61868200,4.56
2013-01-07,5.79,5.84,5.72,5.73,37709900,4.54
2013-01-04,5.80,5.86,5.74,5.80,43957000,4.59
2013-01-03,5.77,5.77,5.77,5.77,000,4.56
2013-01-02,5.77,5.77,5.77,5.77,000,4.56
2013-01-01,5.77,5.77,5.77,5.77,000,4.56
